Brand,Model,Engine,Combined (MPG),Combined (l/100km)
,iné,benzínové,,0.0
,iné,naftové,,0.0
ALFA,ROMEO,147,28.68,8.2
ALFA,ROMEO,147,39.87,5.9
ALFA,ROMEO,147,26.43,8.9
ALFA,ROMEO,159,30.95,7.6
ALFA,ROMEO,159,27.04,8.7
ALFA,ROMEO,159,25.57,9.2
ALFA,ROMEO,159,34.59,6.8
ALFA,ROMEO,159,21.38,11.0
ALFA,ROMEO,Brera,25.57,9.2
ALFA,ROMEO,Brera,34.59,6.8
ALFA,ROMEO,Brera,21.38,11.0
ALFA,ROMEO,GT,27.04,8.7
AUDI,A3,1.6,33.60,7.0
AUDI,A3,1.6,36.19,6.5
AUDI,A3,1.8,32.22,7.3
AUDI,A3,1.9,48.00,4.9
AUDI,A3,2.0,34.09,6.9
AUDI,A3,2.0,42.77,5.5
AUDI,A4,1.8,33.13,7.1
AUDI,A4,2.0,42.77,5.5
AUDI,A4,2.7,35.64,6.6
AUDI,A4,3.0,34.09,6.9
AUDI,A4,3.2,25.57,9.2
AUDI,A5,"1,8T",33.13,7.1
AUDI,A5,"2,7",35.11,6.7
AUDI,A5,"3,0",32.67,7.2
AUDI,A5,"3,2",25.57,9.2
AUDI,A6,2.0,39.20,6.0
AUDI,A6,2.0,29.77,7.9
AUDI,A6,2.4,24.25,9.7
AUDI,A6,2.7,34.59,6.8
AUDI,A6,2.8,27.04,8.7
AUDI,A6,3.0,29.40,8.0
AUDI,A6,3.2,24.25,9.7
AUDI,A8,3.0,28.00,8.4
AUDI,A8,3.2,23.76,9.9
AUDI,A8,4.2,25.02,9.4
AUDI,A8,4.2,21.58,10.9
AUDI,Q5,2.0,48.00,4.9
AUDI,Q5,2.0,42.00,5.6
AUDI,Q5,2.0,39.87,5.9
AUDI,Q5,2.0,38.56,6.1
AUDI,Q5,2.0,41.27,5.7
AUDI,Q5,2.0,41.27,5.7
AUDI,Q5,2.0,31.36,7.5
AUDI,Q5,2.0,31.36,7.5
AUDI,Q5,2.0,29.77,7.9
AUDI,Q5,2.0,34.09,6.9
AUDI,Q5,3.0,37.34,6.3
AUDI,Q5,3.0,27.67,8.5
AUDI,Q7,3.0,22.40,10.5
AUDI,Q7,3.6,18.23,12.9
AUDI,Q7,4.2,17.30,13.6
AUDI,Q7,4.2,21.19,11.1
AUDI,TT,"2,0",30.55,7.7
AUDI,TT,"3,2",22.84,10.3
BMW,120d,,49.00,4.8
BMW,123d,,45.23,5.2
BMW,135i,,25.57,9.2
BMW,318d,,50.05,4.7
BMW,318i,,39.87,5.9
BMW,320d,,49.00,4.8
BMW,325d,,36.75,6.4
BMW,325i,,28.00,8.4
BMW,330d,,36.19,6.5
BMW,330i,,27.04,8.7
BMW,335i,,24.50,9.6
BMW,520d,,39.87,5.9
BMW,520i,,35.11,6.7
BMW,523i,,32.22,7.3
BMW,525d,,37.94,6.2
BMW,525i,,31.79,7.4
BMW,530d,,36.75,6.4
BMW,530i,,30.55,7.7
BMW,540i,,22.40,10.5
BMW,550i,,21.58,10.9
BMW,630i,,29.77,7.9
BMW,635d,,34.09,6.9
BMW,650i,,20.10,11.7
BMW,730d,A/T,28.68,8.2
BMW,730i,A/T,23.29,10.1
BMW,740i,A/T,21.00,11.2
BMW,745d,A/T,24.76,9.5
BMW,750i,A/T,20.63,11.4
BMW,760i,A/T,17.55,13.4
BMW,M6,,15.89,14.8
BMW,X1,sDrive,48.00,4.9
BMW,X1,sDrive,47.04,5.0
BMW,X1,sDrive,48.00,4.9
BMW,X1,sDrive,47.04,5.0
BMW,X1,sDrive,30.55,7.7
BMW,X1,sDrive,48.00,4.9
BMW,X1,sDrive,52.27,4.5
BMW,X1,sDrive,47.04,5.0
BMW,X1,sDrive,33.13,7.1
BMW,X1,sDrive,34.59,6.8
BMW,X1,xDrive,42.77,5.5
BMW,X1,xDrive,43.56,5.4
BMW,X1,xDrive,42.77,5.5
BMW,X1,xDrive,43.56,5.4
BMW,X1,xDrive,30.55,7.7
BMW,X1,xDrive,32.22,7.3
BMW,X1,xDrive,39.87,5.9
BMW,X1,xDrive,42.77,5.5
BMW,X1,xDrive,32.22,7.3
BMW,X3,2.0d,32.67,7.2
BMW,X3,2.0i,25.29,9.3
