Krajina,Cena v €/l paliva (Benzín)
Libya,0.025
Iran,0.026
Venezuela,0.032
Angola,0.300
Egypt,0.303
Kuwait,0.313
Algeria,0.315
Turkmenistan,0.394
Malaysia,0.420
Kazakhstan,0.428
Bahrain,0.487
Bolivia,0.495
Nigeria,0.514
Qatar,0.516
Oman,0.569
Saudi Arabia,0.569
Azerbaijan,0.593
Iraq,0.595
UAE,0.614
Sudan,0.642
Ecuador,0.647
Russia,0.648
Lebanon,0.657
Bhutan,0.704
Belarus,0.706
Indonesia,0.724
Vietnam,0.757
Paraguay,0.759
Tunisia,0.762
Kyrgyzstan,0.773
Ethiopia,0.780
Liberia,0.799
Afghanistan,0.801
Syria,0.806
Guyana,0.810
Puerto Rico,0.820
Maldives,0.832
Pakistan,0.832
Taiwan,0.842
USA,0.866
Panama,0.882
Burma,0.888
Colombia,0.892
Uzbekistan,0.900
Australia,0.900
Gabon,0.911
DR Congo,0.943
Ghana,0.944
Bangladesh,0.951
Lesotho,0.953
Honduras,0.953
El Salvador,0.954
Botswana,0.961
Swaziland,0.975
Namibia,0.978
Brazil,0.981
South Africa,0.990
China,1.009
Guatemala,1.014
Georgia,1.020
Tanzania,1.035
Haiti,1.036
Togo,1.041
Philippines,1.043
Cambodia,1.043
Madagascar,1.047
Trinidad & Tobago,1.048
Canada,1.054
Rwanda,1.062
Benin,1.064
Curacao,1.068
India,1.077
Fiji,1.080
Suriname,1.083
Grenada,1.086
Nepal,1.088
Argentina,1.099
Jamaica,1.111
Sri Lanka,1.111
Peru,1.113
Dom. Rep.,1.117
Turkey,1.129
Mexico,1.132
Zambia,1.146
Japan,1.147
Thailand,1.149
South Korea,1.161
Chile,1.177
Cuba,1.187
Mali,1.187
Laos,1.213
Dominica,1.218
Moldova,1.221
Nicaragua,1.222
Cape Verde,1.223
Aruba,1.226
Armenia,1.227
Bosnia & Herz.,1.228
Mozambique,1.231
Saint Lucia,1.232
Costa Rica,1.233
N. Maced.,1.239
Kenya,1.241
Uganda,1.243
Mauritius,1.244
Burundi,1.254
Morocco,1.256
Guinea,1.271
Sierra Leone,1.272
Bulgaria,1.273
Seychelles,1.286
Cameroon,1.286
Ukraine,1.287
Burkina Faso,1.302
Ivory Coast,1.309
Bahamas,1.313
Cayman Islands,1.329
Malawi,1.337
Malta,1.340
Andorra,1.343
Mongolia,1.363
Czech Republic,1.378
New Zealand,1.385
Cyprus,1.388
Zimbabwe,1.403
Jordan,1.404
Poland,1.411
Romania,1.424
Lithuania,1.440
Sweden,1.442
Luxembourg,1.459
Montenegro,1.470
Hungary,1.484
Slovenia,1.488
Croatia,1.498
Spain,1.501
Senegal,1.516
Slovakia,1.520
Austria,1.520
Serbia,1.562
Latvia,1.576
UK,1.578
Belgium,1.592
Belize,1.605
San Marino,1.613
Monaco,1.629
Estonia,1.632
Germany,1.681
C. Afr. Rep.,1.685
Wallis and Futuna,1.686
Uruguay,1.709
Mayotte,1.720
Finland,1.728
France,1.729
Norway,1.736
Portugal,1.744
Ireland,1.751
Albania,1.760
Italy,1.764
Barbados,1.766
Greece,1.785
Israel,1.832
Switzerland,1.854
Liechtenstein,1.856
Singapore,1.868
Netherlands,1.914
Denmark,1.977
Iceland,2.141
Hong Kong,3.169
